K,Dimension,Number of Points,Time,Distribution
2,2,400,3.278e-05,Gaussian
3,2,400,4.65806e-05,Gaussian
4,2,400,6.00483e-05,Gaussian
5,2,400,7.12914e-05,Gaussian
6,2,400,8.08266e-05,Gaussian
7,2,400,8.95371e-05,Gaussian
8,2,400,0.000100567,Gaussian
9,2,400,0.00011332,Gaussian
10,2,400,0.000118249,Gaussian
11,2,400,0.000126404,Gaussian
1,2,800,2.4517e-05,Gaussian
2,2,800,3.25475e-05,Gaussian
3,2,800,4.80736e-05,Gaussian
4,2,800,7.68132e-05,Gaussian
5,2,800,7.86404e-05,Gaussian
6,2,800,8.76594e-05,Gaussian
7,2,800,0.000100948,Gaussian
8,2,800,0.000120025,Gaussian
9,2,800,0.000131319,Gaussian
10,2,800,0.000131616,Gaussian
11,2,800,0.000140789,Gaussian
1,2,1600,2.63105e-05,Gaussian
2,2,1600,3.9546e-05,Gaussian
3,2,1600,6.26944e-05,Gaussian
4,2,1600,8.6174e-05,Gaussian
5,2,1600,0.000111202,Gaussian
6,2,1600,0.00012705,Gaussian
7,2,1600,0.000143726,Gaussian
8,2,1600,0.000167488,Gaussian
9,2,1600,0.000188479,Gaussian
10,2,1600,0.000195231,Gaussian
11,2,1600,0.000210927,Gaussian
1,2,3200,3.05143e-05,Gaussian
2,2,3200,6.24268e-05,Gaussian
3,2,3200,9.86622e-05,Gaussian
4,2,3200,0.000134802,Gaussian
5,2,3200,0.000167233,Gaussian
6,2,3200,0.000185302,Gaussian
7,2,3200,0.00020955,Gaussian
8,2,3200,0.000244912,Gaussian
9,2,3200,0.000268754,Gaussian
10,2,3200,0.000279068,Gaussian
11,2,3200,0.000304633,Gaussian
1,2,6400,4.52015e-05,Gaussian
2,2,6400,7.64421e-05,Gaussian
3,2,6400,0.000110598,Gaussian
4,2,6400,0.000157979,Gaussian
5,2,6400,0.000205172,Gaussian
6,2,6400,0.000231855,Gaussian
7,2,6400,0.00026847,Gaussian
8,2,6400,0.000317157,Gaussian
9,2,6400,0.000354427,Gaussian
10,2,6400,0.000367501,Gaussian
11,2,6400,0.000402235,Gaussian
1,2,12800,4.65837e-05,Gaussian
2,2,12800,0.000118077,Gaussian
3,2,12800,0.000182791,Gaussian
4,2,12800,0.000254051,Gaussian
5,2,12800,0.000317826,Gaussian
6,2,12800,0.000367372,Gaussian
7,2,12800,0.000424131,Gaussian
8,2,12800,0.000576527,Gaussian
9,2,12800,0.000584911,Gaussian
10,2,12800,0.000612348,Gaussian
11,2,12800,0.000669643,Gaussian
1,2,25600,5.16225e-05,Gaussian
2,2,25600,0.000142339,Gaussian
3,2,25600,0.000229884,Gaussian
4,2,25600,0.000352531,Gaussian
5,2,25600,0.000459998,Gaussian
6,2,25600,0.000525796,Gaussian
7,2,25600,0.00061085,Gaussian
8,2,25600,0.00073724,Gaussian
9,2,25600,0.000835325,Gaussian
10,2,25600,0.00088789,Gaussian
11,2,25600,0.000988061,Gaussian
1,2,51200,6.71594e-05,Gaussian
2,2,51200,0.000166743,Gaussian
3,2,51200,0.000273387,Gaussian
4,2,51200,0.000416539,Gaussian
5,2,51200,0.000562826,Gaussian
6,2,51200,0.00070781,Gaussian
7,2,51200,0.000801074,Gaussian
8,2,51200,0.000963055,Gaussian
9,2,51200,0.00110184,Gaussian
10,2,51200,0.00114368,Gaussian
11,2,51200,0.0012667,Gaussian
