K,Dimension,Number of Points,Time,Distribution
10,2,409600,0.0368325,Gaussian
11,2,409600,0.0354558,Gaussian
1,2,819200,0.0573202,Gaussian
2,2,819200,0.0584601,Gaussian
3,2,819200,0.0561357,Gaussian
4,2,819200,0.0570715,Gaussian
5,2,819200,0.0571568,Gaussian
6,2,819200,0.0569274,Gaussian
7,2,819200,0.056849,Gaussian
8,2,819200,0.0569631,Gaussian
9,2,819200,0.0587007,Gaussian
10,2,819200,0.0568707,Gaussian
11,2,819200,0.0560041,Gaussian
1,3,50,1.39797e-05,Uniform
2,3,50,1.74965e-05,Uniform
3,3,50,2.89692e-05,Uniform
4,3,50,3.14309e-05,Uniform
5,3,50,3.11824e-05,Uniform
6,3,50,3.365e-05,Uniform
7,3,50,4.03495e-05,Uniform
8,3,50,4.39742e-05,Uniform
9,3,50,5.11331e-05,Uniform
10,3,50,5.12023e-05,Uniform
11,3,50,5.09756e-05,Uniform
1,3,100,6.4543e-06,Uniform
2,3,100,6.4521e-06,Uniform
3,3,100,1.8544e-05,Uniform
4,3,100,2.42162e-05,Uniform
5,3,100,2.41906e-05,Uniform
6,3,100,3.23551e-05,Uniform
7,3,100,3.2095e-05,Uniform
8,3,100,3.55768e-05,Uniform
9,3,100,3.91243e-05,Uniform
10,3,100,4.38238e-05,Uniform
11,3,100,4.32418e-05,Uniform
1,3,200,1.06685e-05,Uniform
2,3,200,1.06726e-05,Uniform
3,3,200,1.06586e-05,Uniform
4,3,200,1.54494e-05,Uniform
5,3,200,3.08442e-05,Uniform
6,3,200,3.65188e-05,Uniform
7,3,200,5.01093e-05,Uniform
8,3,200,5.00674e-05,Uniform
9,3,200,5.01485e-05,Uniform
10,3,200,8.47627e-05,Uniform
11,3,200,7.69806e-05,Uniform
1,3,400,2.19696e-05,Uniform
2,3,400,1.35891e-05,Uniform
3,3,400,9.229e-06,Uniform
4,3,400,9.1593e-06,Uniform
5,3,400,1.42964e-05,Uniform
6,3,400,2.04673e-05,Uniform
7,3,400,2.04029e-05,Uniform
8,3,400,2.00812e-05,Uniform
9,3,400,2.02675e-05,Uniform
10,3,400,3.68009e-05,Uniform
11,3,400,6.21099e-05,Uniform
1,3,800,2.09741e-05,Uniform
2,3,800,2.53794e-05,Uniform
3,3,800,1.73179e-05,Uniform
4,3,800,1.85115e-05,Uniform
5,3,800,1.4776e-05,Uniform
6,3,800,2.27333e-05,Uniform
7,3,800,2.09287e-05,Uniform
8,3,800,1.45811e-05,Uniform
9,3,800,1.47507e-05,Uniform
10,3,800,1.44535e-05,Uniform
11,3,800,1.4484e-05,Uniform
1,3,1600,2.88357e-05,Uniform
2,3,1600,2.6859e-05,Uniform
3,3,1600,2.57428e-05,Uniform
4,3,1600,3.15867e-05,Uniform
5,3,1600,3.41114e-05,Uniform
6,3,1600,3.82146e-05,Uniform
7,3,1600,2.33942e-05,Uniform
8,3,1600,2.33513e-05,Uniform
9,3,1600,2.33285e-05,Uniform
10,3,1600,2.33267e-05,Uniform
11,3,1600,2.33e-05,Uniform
1,3,3200,3.99957e-05,Uniform
2,3,3200,3.98488e-05,Uniform
3,3,3200,3.98543e-05,Uniform
4,3,3200,5.11757e-05,Uniform
5,3,3200,4.9905e-05,Uniform
6,3,3200,4.01102e-05,Uniform
7,3,3200,4.24051e-05,Uniform
